gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Group,Churn_Probability,Risk_Level,Recommended_Action
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,279.55,1,0-6 Months,0.8375544993288405,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,85.05,1,0-6 Months,0.8228226414819498,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,85.7,1,0-6 Months,0.8221188084704184,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.05,86.05,1,0-6 Months,0.8189808781775662,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,94.6,1,0-6 Months,0.8187905347025141,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,93.85,1,0-6 Months,0.81814561222275,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.55,187.45,1,0-6 Months,0.8179836477355117,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,0,0-6 Months,0.8179737207004903,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.95,700.85,1,7-12 Months,0.8172597045510217,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,95.45,1,0-6 Months,0.81599929209891,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,196.9,1,0-6 Months,0.8151992220340714,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.3,91.3,1,0-6 Months,0.8151070354604909,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8,1,0-6 Months,0.8148215998943845,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.3,89.3,1,0-6 Months,0.8133562257147358,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.25,665.45,1,7-12 Months,0.8133136067124849,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,1,7-12 Months,0.8128234894185221,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,1,0-6 Months,0.8119437304849286,High Risk,Immediate retention contact + personalized offer
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.2,292.85,1,0-6 Months,0.8108635443626866,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,88.8,1,0-6 Months,0.8095155523299474,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.55,179.25,1,0-6 Months,0.8095120613511559,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.45,101.45,1,0-6 Months,0.8093780876767467,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,1,0-6 Months,0.8087255609202538,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.9,334.65,1,0-6 Months,0.8084867607820919,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,1,7-12 Months,0.8084371466414608,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,898.35,1,7-12 Months,0.8058556823332061,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.0,294.45,1,0-6 Months,0.8056520754302204,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,83.25,308.05,0,0-6 Months,0.8036456854079743,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.55,1131.2,1,7-12 Months,0.8033138724047694,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.95,329.95,1,0-6 Months,0.8016950191968759,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.25,560.6,1,0-6 Months,0.8010238062783526,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,1290.0,1,13-24 Months,0.8008510983816746,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.85,372.45,1,0-6 Months,0.8007108015224293,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,1,0-6 Months,0.798280420418535,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.6,90.6,1,0-6 Months,0.7954559499578475,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.35,474.9,1,0-6 Months,0.7953640376108143,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,514.0,1,0-6 Months,0.7953342586724502,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.55,646.85,1,7-12 Months,0.7948097683168737,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.25,1233.65,1,13-24 Months,0.794317561051029,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.45,1200.15,1,7-12 Months,0.7932900272210842,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.4,449.75,1,0-6 Months,0.7918229207977252,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,477.7,1,0-6 Months,0.7916019209869585,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,74.45,1,0-6 Months,0.7913223838067129,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2,1,0-6 Months,0.7910364926079276,High Risk,Immediate retention contact + personalized offer
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.3,93.3,1,0-6 Months,0.7909716377491606,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,422.4,0,0-6 Months,0.790393599483603,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,0,0-6 Months,0.7902506365993486,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,829.55,1,7-12 Months,0.7893247336773045,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.45,76.45,1,0-6 Months,0.7892792191365116,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,0-6 Months,0.7891128778576956,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.1,72.1,0,0-6 Months,0.7890203944439403,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,0,7-12 Months,0.7887440449798454,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.75,75.75,1,0-6 Months,0.7886046342326001,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,1,0-6 Months,0.7882184480664047,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.4,1581.2,1,13-24 Months,0.7879884642443297,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,0-6 Months,0.787589795674896,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,1,0-6 Months,0.7873466677056645,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,74.4,1,0-6 Months,0.787299189135668,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.6,84.6,0,0-6 Months,0.7872937124504694,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,1273.3,0,13-24 Months,0.7867569156361544,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.6,86.6,1,0-6 Months,0.7867132303824882,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,73.65,1,0-6 Months,0.7865714037514052,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,1,0-6 Months,0.7865218415120566,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,635.6,1,7-12 Months,0.7849504759713531,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15,1529.2,1,13-24 Months,0.7849341238539683,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.8,546.95,1,7-12 Months,0.7842705462464863,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,169.8,1,0-6 Months,0.7842697794152793,High Risk,Immediate retention contact + personalized offer
Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,1,0-6 Months,0.7841297330897378,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,889.9,1,7-12 Months,0.7833533106979396,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.0,613.4,1,7-12 Months,0.7824873844058626,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,676.7,1,7-12 Months,0.7822844669614004,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.2,79.2,1,0-6 Months,0.7810683380368733,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,7-12 Months,0.7810051251960328,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.45,762.5,1,7-12 Months,0.7808299881447445,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,574.35,0,7-12 Months,0.7802878150746123,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.0,165.45,1,0-6 Months,0.7802864236061297,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,1,0-6 Months,0.7793759835219088,High Risk,Immediate retention contact + personalized offer
Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.05,134.05,0,0-6 Months,0.7793436207871524,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.75,573.75,1,0-6 Months,0.7793306509777307,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,1,0-6 Months,0.7790309966988802,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.0,237.75,1,0-6 Months,0.7782561760072203,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,0,7-12 Months,0.777861709485403,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.85,790.15,1,7-12 Months,0.7777419251264842,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,1608.15,0,13-24 Months,0.7771996896066339,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,231.8,1,0-6 Months,0.7770257857713808,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,79.1,1,0-6 Months,0.7769021757078154,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.5,829.1,1,7-12 Months,0.7766284935142201,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.05,746.5,1,7-12 Months,0.7764317750843347,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.55,1614.7,0,13-24 Months,0.7760524378818894,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.4,193.6,1,0-6 Months,0.7760443049473319,High Risk,Immediate retention contact + personalized offer
Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.75,90.75,1,0-6 Months,0.7757917659033611,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.55,149.55,1,0-6 Months,0.7757353394395693,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.55,90.55,1,0-6 Months,0.7755410118687946,High Risk,Immediate retention contact + personalized offer
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,420.2,1,0-6 Months,0.7754124272923542,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1218.55,1,7-12 Months,0.7752914831894278,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.9,89.9,1,0-6 Months,0.7748854753565487,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.0,85.0,1,0-6 Months,0.7748369967215655,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.3,264.8,1,0-6 Months,0.7747852434661879,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,321.75,1,0-6 Months,0.7746459130057427,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,1,0-6 Months,0.7745319319904367,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,1060.2,1,7-12 Months,0.7745226469692962,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.25,89.25,0,0-6 Months,0.7742285816790908,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,0,7-12 Months,0.7741928729314985,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.1,89.1,1,0-6 Months,0.7740767981433343,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.8,502.6,1,0-6 Months,0.7740359345175903,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.65,856.65,1,7-12 Months,0.7737366167161818,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,1,0-6 Months,0.773410288139705,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.35,88.35,1,0-6 Months,0.7733167968899098,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,1587.55,1,13-24 Months,0.7731485845850942,High Risk,Immediate retention contact + personalized offer
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.45,294.45,0,0-6 Months,0.7726689099262866,High Risk,Immediate retention contact + personalized offer
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.0,1078.9,1,7-12 Months,0.7724862689003021,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.6,347.65,1,0-6 Months,0.7720442149256885,High Risk,Immediate retention contact + personalized offer
Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,13-24 Months,0.7719270257694173,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,1,7-12 Months,0.7717089281612225,High Risk,Immediate retention contact + personalized offer
Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.8,1563.9,0,13-24 Months,0.7711910733415689,High Risk,Immediate retention contact + personalized offer
Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,0,0-6 Months,0.770746775261483,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,321.65,1,0-6 Months,0.7704322583560251,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.8,1346.3,0,13-24 Months,0.7699199218177367,High Risk,Immediate retention contact + personalized offer
Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.4,224.05,1,0-6 Months,0.7694775595283077,High Risk,Immediate retention contact + personalized offer
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.65,338.9,1,0-6 Months,0.7687552207289129,High Risk,Immediate retention contact + personalized offer
Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.2,474.8,1,0-6 Months,0.7681186469910057,High Risk,Immediate retention contact + personalized offer
